Module 1: OEM-level Benchmarking ,,,
1.1. Current Standing,,,
Parameter,AV Platform Landscape,Assesses the key characteristics of an OEM’s automated driving (AD) platform offerings.,
"Attribute/
Indicator",AV Platform Name,"The platform name representing the complete package of automated driving (AD) functionalities offered by the OEM (e.g., Tesla Autopilot, Ford BlueCruise).",
,Highest Autonomy Level in Commercially Available Private Vehicles,"The level of driving automation (Level 1 to Level 5) commercially deployed by the OEM in its production vehicles, based on the system's key functionalities.",
,Platform Versions Supporting L2+ or Higher Autonomy,"Different versions of an OEM's AD platform offering Level 2+ and above autonomous driving capabilities (e.g., Ford’s BlueCruise versions 1.2, 1.3, 1.4, and 1.5, all providing Level 2+ functionality).",
,Most Advanced Version of AV Platform,"The most advanced AD version offered by an OEM (e.g., BlueCruise 1.5), representing the highest level of available functionality within its platform lineup.",
,Driver Intervention for Critical AV Feature (Automatic Lane Change),"• Physical input is required: The driver must confirm the lane change via turn signal or other input (such as eye gazing)
• No physical input is required: The vehicle executes lane changes autonomously without driver input, based on system judgment.",
Parameter,Vehicle Portfolio Dynamics for AV Platform,Evaluate each OEM’s portfolio equipped with Level 2+ or higher autonomy by analyzing the mix of models offered and their market performance across key regions.,
"Attribute/
Indicator",Penetration Across Vehicle Model Portfolio with L2+ and Higher Autonomy,The percentage of vehicle models in each OEM’s portfolio that are equipped with AD Level 2+ or higher autonomous driving technology.,
,Models Featuring L2+ and Higher Autonomy Capabilities,The list of vehicle models that are equipped with Level 2+ or higher autonomy capabilities.,
,Most Technologically Advanced AV Model,This refers to the most advanced model in terms of autonomy level and functionalities—often serving as the flagship model line for launching new autonomous driving features.,
,Sales Penetration of L2+ and Higher Autonomy Capable Vehicles,The sales penetration of the most advanced vehicle model in US and Europe by OEM.,
Parameter,Defined AV Driving Scope: Operation Design Domain (ODD),"Specific conditions under which an autonomous vehicle (AV) system is designed to operate safely such as geographic areas (e.g., highways, urban roads), speed range etc.",
Parameter,Regulatory Compliance and Standing,"Measures the extent to which an OEM’s AD systems meet official certification, legal approvals, and operational permissions.",
"Attribute/
Indicator",Key Industry Standards and Compliances,"The key industry standards and compliance frameworks (e.g., ISO, SAE) that OEMs adhere to and publicly report, validating the safety, performance, and regulatory compliance of their AD systems.",
,Key Regulatory Approvals/Endorsements,"Recent or ongoing regulatory engagements/endorsements by the OEM to obtain approvals, certifications, or ensure compliance related to AD and autonomous driving technologies.",
Parameter,Major Setbacks and Risk Events,"Tracks incidents, system failures, recalls, and legal challenges associated with an OEM’s AD or autonomous driving deployments.",
"Attribute/
Indicator",AV Technology-related Crash Incidents and Follow-up Actions/Recalls,"Officially reported accidents involving vehicles equipped with AD or autonomous driving features, where incidents were attributed to system behavior or failure—along with any subsequent recalls initiated or actions taken in response to these crashes.",
,"Reported System Malfunctions, Related Recalls, and Repairments (OTA/Physical)",Instances where the AD system malfunctioned or failed to operate as intended. It also includes any subsequent recalls or corrective actions taken by the OEM in response.,
,Active Legal Proceedings,"Ongoing legal cases or investigations involving the OEM related to its AD technology, including liability claims or regulatory non-compliance.",
1.2 AV Stack Breakdown ,,,
1.2 AV Stack Breakdown - A) Sensing and Perception,,,
Parameter,AV Sensor Suite,Quantifies and categorizes the types and number of sensors integrated into the AD suite for environmental perception.,
"Attribute/
Indicator",Total Sensors,"The combined count of all sensor types (camera, radar, LiDAR, ultrasonic, etc.) integrated into the AD system.",
,Camera,Count of Vision-based (Camera) sensors used for AD technology.,
,Radar,Count of Radio wave-based sensors for AD technology.,
,LiDAR,Count of Laser-based sensors used for AD technology.,
,Ultrasonic,Count of Short-range sensors Count of Light-based sensors used for AD technology.,
Parameter,"Camera Configuration 
and Specifications","Details the placement, types, and technical characteristics of cameras used for AD functions.",
"Attribute/
Indicator",Camera Count by Zone,"Number of Cameras mounted at the front, side and rear mounting ",
,Camera Mounting/Integration by Zone,"The specific placement and method of integrating cameras into different areas of the vehicle (front, side, rear) to optimize their field of view and support AD functions",
,Underlying Technology (Specifications),The core imaging and sensor mechanism used in the camera system that determines its functionality and performance characteristics.,
